AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
530, ,HISPANIC,FEMALE,0.0,40.0,5069.73,60836.76
696, ,HISPANIC,MALE,0.0,40.0,4778.2,57338.4
529, ,WHITE,MALE,0.0,40.0,7778.11,93337.32
529,I,HISPANIC,FEMALE,0.0,40.0,3894.21,46730.52
529,D,WHITE,FEMALE,0.0,40.0,7253.79,87045.48
529, ,BLACK,FEMALE,0.0,40.0,3269.07,39228.84
304,G,WHITE,FEMALE,0.0,40.0,5461.57,65538.84
405,L,WHITE,FEMALE,0.0,40.0,5463.4,65560.8
529,K,WHITE,FEMALE,0.0,40.0,7474.22,89690.64
696,A,BLACK,MALE,0.0,40.0,4778.2,57338.4
305,S,WHITE,MALE,0.0,40.0,10937.5,131250.0
327, ,WHITE,FEMALE,0.0,40.0,8680.0,104160.0
601,A,WHITE,MALE,0.0,40.0,5125.0,61500.0
529, ,BLACK,FEMALE,0.0,40.0,5058.0,60696.0
529, ,WHITE,FEMALE,0.0,40.0,7474.4,89692.8
601,L,WHITE,MALE,0.0,40.0,9870.0,118440.0
529, ,HISPANIC,FEMALE,0.0,40.0,5389.78,64677.36
696,A,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
696,J,BLACK,MALE,0.0,40.0,4778.2,57338.4
405,C,HISPANIC,FEMALE,0.0,40.0,3805.03,45660.36
103,E,WHITE,MALE,0.0,40.0,12687.5,152250.0
696,D,WHITE,MALE,0.0,40.0,4518.78,54225.36
503, ,HISPANIC,FEMALE,0.0,40.0,4423.55,53082.6
537, ,WHITE,MALE,0.0,40.0,6451.39,77416.68
241,N,WHITE,MALE,75.9615,29.0,9545.82,114549.84
313, ,WHITE,MALE,0.0,40.0,7809.55,93714.6
105,M,WHITE,FEMALE,0.0,40.0,6223.85,74686.2
529, ,WHITE,MALE,0.0,40.0,6551.06,78612.72
327,L,WHITE,MALE,0.0,40.0,9583.26,114999.12
551,D,WHITE,MALE,0.0,40.0,6320.05,75840.6
601,K,WHITE,MALE,0.0,40.0,12687.49,152249.88
696, ,HISPANIC,FEMALE,0.0,40.0,4992.0,59904.0
529,T,BLACK,FEMALE,0.0,40.0,4204.98,50459.76
696,M,HISPANIC,MALE,0.0,40.0,5216.73,62600.76
601,R,WHITE,MALE,0.0,40.0,6108.72,73304.64
241,E,WHITE,MALE,75.9615,29.0,9545.82,114549.84
454,L,WHITE,FEMALE,0.0,40.0,17455.56,209466.72
529,D,WHITE,MALE,0.0,40.0,4149.83,49797.96
405,R,HISPANIC,MALE,0.0,40.0,8334.75,100017.0
405,A,HISPANIC,FEMALE,0.0,40.0,8173.75,98085.0
302, ,HISPANIC,FEMALE,0.0,40.0,6839.91,82078.92
